title,url,交通,所在地,物件種目,価格,坪単価,借地期間・地代（月額）,権利金,敷金 / 保証金,維持費等,その他一時金, ,設備,特記事項,備考,土地面積,坪数,最適用途,私道負担面積,土地権利,都市計画,用途地域,地勢,建ぺい率,容積率,接道状況,地目,国土法届出,セットバック,条件等,現況,引渡し（時期/方法）,物件番号,情報公開日,次回更新予定日
浜田駅 25分 住宅用地,https://www.athome.co.jp/tochi/6965859710/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 浜田駅 徒歩25分 （電車ルート案内）,島根県浜田市長沢町,土地,1350万円 ローンシミュレーター,9.94万円,－,－,－ / －,－,－, ,－,－,広めの住宅用地をお探しの方におススメ 人気の石見小学校・浜田第一中学校のエリアです！,449.19m²（公簿）,135.87坪,住宅用地,なし,所有権,非線引区域,無指定,－,70%,200%,東 4.2m 接面27.0m,宅地,－,－,－,更地,相談/相談,6965859710,売買代金の3.24%+6.48万円,2018年5月25日,2018年7月6日
松江市 東津田町 住宅用地,https://www.athome.co.jp/tochi/6965999719/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 8分 鷹日神社入口 停歩8分 （電車ルート案内）,島根県松江市東津田町,土地,1500万円 ローンシミュレーター,14.38万円,－,－,－ / －,－,－, ,上水道、プロパンガス、電気,分割可、整形地,－,344.88m²（公簿）,104.32坪,住宅用地,なし,所有権,市街化区域,１種住居,平坦,60%,200%,東 公道 接面12.0m,宅地,－,－,－,建物有,即時/現況渡,6965999719,2018年6月12日,2018年6月26日
加茂中駅 53分,https://www.athome.co.jp/tochi/2294807101/?DOWN=1&BKLISTID=001LPC&sref=list_simple,木次線 / 加茂中駅 徒歩53分 （電車ルート案内）,島根県雲南市加茂町猪尾,土地,300万円 ローンシミュレーター,2.33万円,－,－,－ / －,－,－, ,－,－,中山住宅団地内の土地,426.00m²（公簿）,128.86坪,－,－,所有権,市街化区域,無指定,－,70%,200%,南 6.0m 公道 接面25.0m,雑種地,－,－,－,更地,即時/－,2294807101,2018年6月11日,2018年6月25日
松江市 東津田町,https://www.athome.co.jp/tochi/8714755201/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 11分 岡住宅入口 停歩7分 （電車ルート案内）,島根県松江市東津田町,土地,330万円 ローンシミュレーター,6.37万円,－,－,－ / －,－,－, ,－,－,有効面積は約１４０㎡程度。敷地の一部が土砂災害警戒区域に指定、土砂災害特別計画区域の指定予定の区域古家有の現状引渡し,171.30m²（公簿）,51.81坪,－,－,所有権,市街化区域,１種低層,－,50%,100%,西 4.0m 公道 接面10.0m,宅地,－,－,－,建物有,相談/－,8714755201,2018年5月27日,2018年6月24日
松江市 上佐陀町,https://www.athome.co.jp/tochi/8745054702/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 31分 佐太神社前 停歩10分 （電車ルート案内）,島根県松江市上佐陀町,土地,400万円 ローンシミュレーター,4.83万円,－,－,－ / －,－,－, ,－,－,向陽台団地　南西向き約８２坪,274.20m²（公簿）,82.94坪,－,－,所有権,区域外,無指定,－,－,－,南西 4.2m 公道 接面14.0m,宅地,－,－,－,更地,相談/－,8745054702,2018年6月14日,2018年6月28日
米子駅 29分,https://www.athome.co.jp/tochi/8743138502/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 米子駅 徒歩29分 （電車ルート案内）,島根県安来市吉佐町,土地,400万円 ローンシミュレーター,7.09万円,－,－,－ / －,－,－, ,－,－,－,186.63m²（公簿）,56.45坪,－,－,所有権,市街化区域,工業地域,－,60%,200%,南 6.0m 公道 接面17.0m,宅地,－,－,－,更地,相談/－,8743138502,2018年6月21日,2018年7月5日
江南駅 6分,https://www.athome.co.jp/tochi/8735246502/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 江南駅 徒歩6分 （電車ルート案内）,島根県出雲市湖陵町三部,土地,470万円 ローンシミュレーター,3.47万円,－,－,－ / －,－,－, ,－,－,■約１３５坪の土地■境界確定測量実施済,447.98m²（実測）,135.51坪,－,－,所有権,非線引区域,無指定,－,70%,200%,西 4.5m 公道 接面4.0m,田,－,－,－,更地,相談/－,8735246502,2018年6月17日,2018年7月1日
浜田市 長沢町,https://www.athome.co.jp/tochi/8736666002/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 浜田駅 【バス】 6分 神在坂バス 停歩3分 （電車ルート案内）,島根県浜田市長沢町,土地,470万円 ローンシミュレーター,7.36万円,－,－,－ / －,－,－, ,－,－,－,211.15m²（公簿）,63.87坪,－,－,所有権,市街化区域,準工業,－,60%,200%,南東 9.0m 公道 接面16.2m ・ 南 5.3m,宅地,－,－,－,更地,相談/－,8736666002,2018年5月24日,2018年7月5日
松江市 東津田町,https://www.athome.co.jp/tochi/8732521302/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 12分 鷹日神社入口バス 停歩5分 （電車ルート案内）,島根県松江市東津田町,土地,800万円 ローンシミュレーター,8.09万円,－,－,－ / －,－,－, ,－,－,－,327.13m²（公簿）,98.95坪,－,－,所有権,市街化区域,１種住居,－,60%,200%,北東 5.7m 公道 接面16.0m,宅地,－,－,－,建物有,相談/－,8732521302,2018年6月8日,2018年7月6日
出雲市 中野町,https://www.athome.co.jp/tochi/8751989402/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 出雲市駅 【バス】 11分 ゆめタウン出雲前バス 停歩15分 （電車ルート案内）,島根県出雲市中野町,土地,850万円 ローンシミュレーター,6.88万円,－,－,－ / －,－,－, ,－,－,－,408.80m²（実測）,123.66坪,－,－,所有権,非線引区域,無指定,－,70%,200%,南 4.0m 公道 接面20.4m,田,－,－,－,更地,相談/－,8751989402,2018年6月17日,2018年7月1日
松江市 東津田町,https://www.athome.co.jp/tochi/8741404302/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 12分 鷹日神社入口バス　５００ｍ 停歩7分 （電車ルート案内）,島根県松江市東津田町,土地,890万円 ローンシミュレーター,7.81万円,－,－,－ / －,－,－, ,－,－,土地面積約１１４坪,376.91m²（公簿）,114.01坪,－,－,所有権,市街化区域,１種住居,－,60%,200%,東 6.7m 公道 接面13.0m,宅地,－,－,－,更地,相談/－,8741404302,2018年5月24日,2018年7月5日
荒島駅 16分,https://www.athome.co.jp/tochi/8721195302/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 荒島駅 徒歩16分 （電車ルート案内）,島根県安来市西荒島町,土地,1300万円 ローンシミュレーター,4.68万円,－,－,－ / －,－,－, ,－,－,－,919.00m²（公簿）,277.99坪,－,－,所有権,市街化区域,１種住居,－,60%,200%,南西 10.0m 公道 接面49.0m ・ 北 9.0m,宅地,－,－,－,更地,相談/－,8721195302,2018年5月28日,2018年6月25日
松江市 西川津町,https://www.athome.co.jp/tochi/8747013102/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 21分 楽山入口バス 停歩6分 （電車ルート案内）,島根県松江市西川津町,土地,1780万円 ローンシミュレーター,12.06万円,－,－,－ / －,－,－, ,－,－,約１４７坪の角地,488.16m²（公簿）,147.66坪,－,－,所有権,市街化区域,１種低層,－,60%,100%,北西 5.0m 私道 ・ 二方道路,宅地,－,－,－,更地,相談/－,8747013102,2018年6月2日,2018年6月30日
出雲市 矢野町,https://www.athome.co.jp/tochi/8752113402/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 出雲市駅 【バス】 18分 八野神社入口バス 停歩1分 （電車ルート案内）,島根県出雲市矢野町,土地,5940万円 ローンシミュレーター,8.01万円,－,－,－ / －,－,－, ,－,－,－,2453.80m²（公簿）,742.27坪,－,－,所有権,非線引区域,無指定,－,70%,200%,北東 10.0m 公道 接面60.0m ・ 北 4.3m ・ 二方道路,畑,－,－,－,建物有,相談/－,8752113402,2018年6月18日,2018年7月2日
